data	numer	nip	kontrahent	netto_pln	brutto_pln
2026-08-10	F/005337/26	9532495047	DABEX-BYDGOSZCZ SP. Z O.O.	509.00	509.00
2026-08-10	F/005335/26	9662109597	BAJDARKA SP.Z O.O.	298.38	298.38
2026-08-07	F/005296/26	7621475097	"HENDERSON" REMIGIUSZ TADEUSZ FIJAŁKOWSKI	1816.50	1816.50
2026-08-07	F/005289/26	7191127889	MOTO TEDI ADAM DOMITRZ	191.86	191.86
2026-08-06	FK/000058/26	5422522249	POLSKI ZWIĄZEK WĘDKARSKI OKRĘG W BIAŁYMSTOKU	0.00	0.00
2026-08-06	F/005262/26	7181193962	PPHU SORTYMENT	227.74	227.74
2026-08-06	F/005254/26	5422522249	POLSKI ZWIĄZEK WĘDKARSKI OKRĘG W BIAŁYMSTOKU	138.20	138.20
2026-08-05	F/005204/26	9661680396	HYDRO-BUD ROBERT CHYLIŃSKI	1151.42	1151.42
2026-08-03	F/005168/26	5421631166	DOMKI KEMPINGOWE Jerzy Prymaka	338.32	338.32
2026-07-31	F/005139/26	8441152890	AR-TIR Jolanta Kęćko	1270.90	1270.90
2026-07-31	F/005123/26	7221472190	"KONKRET" Mechanika Pojazdowa	350.86	350.86
2026-07-31	F/005115/26	7191127889	MOTO TEDI ADAM DOMITRZ	441.86	441.86
2026-07-31	F/005106/26	7621475097	"HENDERSON" REMIGIUSZ TADEUSZ FIJAŁKOWSKI	1130.07	1130.07
2026-07-29	F/005068/26	9661558703	CARGO Katarzyna Zalewska-Krysiewicz	730.23	730.23
2026-07-29	F/005057/26	9661680396	HYDRO-BUD ROBERT CHYLIŃSKI	235.76	235.76
2026-07-27	F/004985/26	9661680396	HYDRO-BUD ROBERT CHYLIŃSKI	63.23	63.23
2026-07-27	F/004984/26	1180742079	FLESZ Sp. z o.o	151.20	151.20
2026-07-27	F/004983/26	5422180286	ILARO Ewa Niewińska	51.21	51.21
2026-07-27	F/004982/26	5422180286	ILARO Ewa Niewińska	49.91	49.91
2026-07-27	F/004979/26	9661680396	HYDRO-BUD ROBERT CHYLIŃSKI	426.92	426.92
2026-07-27	F/004975/26	5420208721	POLITECHNIKA BIAŁOSTOCKA	478.25	478.25
2026-07-24	F/004925/26	7581790199	AUTO-FOLIE GRZEGORZ KOZŁOWSKI	247.73	247.73
2026-07-23	F/004903/26	8361722078	Firma Handlowo-Usługowa RABBIT - Sebastian Królik	1827.34	1827.34
2026-07-23	F/004891/26	9661680396	HYDRO-BUD ROBERT CHYLIŃSKI	19.50	19.50
2026-07-23	F/004890/26	5422951016	Z.H-P-U. DYNAMIS	137.38	137.38
2026-07-20	F/004793/26	7621475097	"HENDERSON" REMIGIUSZ TADEUSZ FIJAŁKOWSKI	2184.52	2184.52
2026-07-17	F/004738/26	5422318371	OŚRODEK SZKOLENIA KIEROWCÓW STOP SKRZYPKO MAREK	184.22	184.22
