month	source	sonax_brutto_pln	wapro_netto_pln	wapro_brutto_pln
2024-01	subiekt	106350.59	0.00	0.00
2024-02	subiekt	86608.46	0.00	0.00
2024-03	subiekt	107002.18	0.00	0.00
2024-04	subiekt	126588.89	0.00	0.00
2024-05	subiekt	113966.79	0.00	0.00
2024-06	subiekt	114105.54	0.00	0.00
2024-07	subiekt	121282.20	0.00	0.00
2024-08	subiekt	105809.49	0.00	0.00
2024-09	subiekt	151558.50	0.00	0.00
2024-10	subiekt	120605.23	0.00	0.00
2024-11	subiekt	111021.60	0.00	0.00
2024-12	subiekt	118934.08	0.00	0.00
2025-01	subiekt	107304.91	0.00	0.00
2025-02	subiekt	92664.43	0.00	0.00
2025-03	subiekt	138155.62	0.00	0.00
2025-04	subiekt	104862.39	0.00	0.00
2025-05	subiekt	95687.06	0.00	0.00
2025-06	subiekt	170780.42	0.00	0.00
2025-07	subiekt	122498.60	0.00	0.00
2025-08	subiekt	111597.56	0.00	0.00
2025-09	subiekt	114740.02	0.00	0.00
2025-10	subiekt	188632.65	0.00	0.00
2025-11	subiekt	125581.22	0.00	0.00
2025-12	subiekt	109075.94	0.00	0.00
2026-01	subiekt	95881.07	0.00	0.00
2026-02	subiekt	85139.34	0.00	0.00
2026-03	wapro	0.00	1079387.54	1079387.54
2026-04	wapro	0.00	720005.38	720005.38
2026-05	wapro	0.00	744787.57	744787.57
2026-06	wapro	0.00	859523.91	859523.91
2026-07	wapro	0.00	774755.84	774755.84
2026-08	wapro	0.00	254868.38	254868.38
