S	Rodzaj	Symbol	Nazwa	Stan	Dostępne	J.m.	hurtowa netto	hurtowa brutto	Opis	CN
 	towar	ŻNP	ŻELAZKO NA PARĘ STEAM POWER	0	0	szt.	0	0		
 	towar	ŻELAZKO	ŻELAZKO	0	0	szt.	0	0		
 	towar	ŻP/4	Żel Pomarańczowy 4L	0	0	szt.	50	61,5		
 	towar	ŻP/05	Żel Pomarańczowy 0,5L	0	0	szt.	7,5	9,23		
 	towar	ŻL/4,5	ŻEL LEO 4,5L	0	0	szt.	0	0	pomarańczowy, do mycia rąk	
 	towar	ŻL/15	ŻEL LEO 15 L	0	0	szt.	0	0		
 	towar	7	ŻEL LEO  0,5L	0	0	szt.	0	0	pomarańczowy, do mycia rąk	
 	towar	ŻDW/750	ŻEL DO WC 750ML	0	0	szt.	0	0	morski	
 	towar	ŻDC/750	ŻEL DO WC 750ML	0	0	szt.	0	0	cytrynowy	
 	towar	RO-ŻWC/5	Żel do WC 5 KG	0	0	szt.	29,65	36,47		
 	towar	RO-WC/05	Żel do WC 0,5L	0	0	szt.	1,8	2,21		
 	towar	210.100	ŻEL DO PLASTIKÓW ZEWNĘTRZNYCH 250ML	0	0	szt.	17,5	21,53	wycofany	3405 30 00
 	towar	210.141	ŻEL DO PLASTIKÓW ZEWNĘTRZNYCH 250ML	0	0	szt.	28,98	35,65	NanoPro	3405 30 00
 	towar	235.100	ŻEL DO NABŁYSZCZANIA OPON 250 ML	0	0	szt.	19,95	24,54	wycofany, Xtreme 	
 	towar	ŻMS/400	ŻEL DO MYCIA SKÓRY 400 G	0	0	szt.	0	0		
 	towar	429.200	ŻEL DO FELG 500ML	0	0	szt.	18,98	23,35		3402 20 90
 	towar	ECO2044	Żel do czyszczenia rąk 4,5L	0	0	szt.	0	0		
 	towar	ŻC/4	Żel Cytrynowy 4L	0	0	szt.	58	71,34		
 	towar	ŻC/05	Żel Cytrynowy 0,5L	0	0	szt.	8,5	10,46		
 	towar	B30518	Żarówki SUPER WHITE H7 12V 55W,x2szt. 	0	0	szt.	20,91	25,72	Bottari	
 	towar	B30516	Żarówki SUPER WHITE H5 12V 60/55W ,x2szt. 	0	0	szt.	20,91	25,72	Bottari	
 	towar	1	ŻARÓWKI RING 12V H7 55W 	0	0	szt.	6,6	8,12	K2, PX26D	
 	towar	PY21W	ŻARÓWKI PY 21 W POMARAŃCZOWE 2 SZT.	0	0	szt.	0	0	12V , 21W	
 	towar	333941	ŻARÓWKI P21/5 W	0	0	szt.	0	0	Auchan	
