data_int	numer	kontrahent	nip	netto	brutto_proxy
79571	FS-5044/18/WA	NULL		2990.08	2990.08
79572	FVS/6873/18MAG	NULL		5076.00	5076.00
79573	F/000002/18	NULL		67.80	67.80
79573	F/004798/18	NULL		4330.10	4330.10
79573	F/004802/18	NULL		7630.80	7630.80
79573	F/004799/18	NULL		2920.60	2920.60
79573	F/004813/18	NULL		523.49	523.49
79573	F/000001/18	NULL		37.85	37.85
79573	F/004800/18	NULL		1505.62	1505.62
79573	F/004812/18	NULL		6442.57	6442.57
79573	F/004814/18	NULL		1228.47	1228.47
79574	F/000006/18	NULL		120.16	120.16
79574	F/004832/18	NULL		28815.97	28815.97
79574	F/004831/18	NULL		882.30	882.30
79574	F/004826/18	NULL		1794.34	1794.34
79574	F/000007/18	NULL		84.30	84.30
79574	F/000003/18	NULL		45.68	45.68
79574	FS-5094/18/WA	NULL		220.68	220.68
79574	F/004837/18	NULL		4461.10	4461.10
79574	4819/18	NULL		1432.00	1432.00
79574	F/004839/18	NULL		11120.15	11120.15
79574	F/000005/18	NULL		72.60	72.60
79574	F/000004/18	NULL		159.75	159.75
79574	F/004828/18	NULL		986.90	986.90
79574	F/004827/18	NULL		5248.31	5248.31
79574	F/004830/18	NULL		2690.50	2690.50
79574	F/004838/18	NULL		9248.39	9248.39
79575	F/004842/18	NULL		994.17	994.17
79575	F/004840/18	NULL		9660.88	9660.88
79575	F/004845/18	NULL		4929.10	4929.10
79575	F/004844/18	NULL		5301.58	5301.58
79575	F/004843/18	NULL		8671.64	8671.64
79575	F/004841/18	NULL		30170.16	30170.16
79575	F/004846/18	NULL		17204.42	17204.42
79577	F/004848/18	NULL		6149.60	6149.60
79577	F/004847/18	NULL		6147.70	6147.70
79577	F/004849/18	NULL		8902.67	8902.67
79578	F/000010/18	NULL		171.55	171.55
79578	F/004861/18	NULL		348.40	348.40
79578	F/004867/18	NULL		57279.39	57279.39
79578	F/000012/18	NULL		246.16	246.16
79578	F/000011/18	NULL		240.32	240.32
79578	F/004863/18	NULL		327.95	327.95
79578	F/004865/18	NULL		8643.79	8643.79
79578	F/000017/18	NULL		165.06	165.06
79578	F/004869/18	NULL		7783.99	7783.99
79578	F/000015/18	NULL		240.31	240.31
