sku;stock;price_purchase_net;price_sale_net;price_sale_gross
1000015;1.0;99.35;218.69;268.99
ABE000007;0.0;40.57;56.9;69.99
ABE000013;3.0;26.08;40.64;49.99
ADB000001;2.0;24.46;48.77;59.99
ADB000002;0.0;18.29;30.89;37.99
ADB000003;0.0;33.53;56.9;69.99
ADB000004;0.0;33.53;56.09;68.99
ADB000005;2.0;4.69;9.75;11.99
ADB000006;11.0;5.94;12.19;14.99
ADB000007;8.0;8.53;16.25;19.99
ADB000008;1.0;1.95;3.65;4.49
ADB000009;1.0;61.62;101.62;124.99
ADB000010;1.0;15.25;25.2;30.99
ADB000011;1.0;13.82;24.38;29.99
ADB000012;1.0;28.96;48.77;59.99
ADB000013;0.0;17.98;30.07;36.99
ADB000014;1.0;28.8;47.96;58.99
ADB000015;3.0;22.65;38.2;46.99
ADB000016;1.0;29.91;50.4;61.99
ADB000017;1.0;47.74;79.67;97.99
ADB000018;1.0;43.56;73.16;89.99
ADB000019;1.0;29.82;48.77;59.99
ADB000020;1.0;29.54;48.77;59.99
ADB000021;1.0;29.82;48.77;59.99
ADB000022;1.0;24.92;40.64;49.99
ADB000023;1.0;5.31;8.93;10.99
ADB000024;4.0;5.41;8.93;10.99
ADB000025;4.0;17.09;28.45;34.99
ADB000026;2.0;17.87;30.07;36.99
ADB000027;1.0;16.56;27.63;33.99
ADB000028;1.0;9.66;16.25;19.99
ADB000029;0.0;14.67;24.38;29.99
ADB000030;1.0;17.87;30.07;36.99
ADB000031;0.0;14.93;24.38;29.99
ADB000032;3.0;9.66;16.25;19.99
ADB000033;0.0;11.87;20.32;24.99
ADB000034;1.0;17.09;28.45;34.99
ADB000035;2.0;9.66;16.25;19.99
ADB000036;1.0;26.32;43.89;53.99
ADB000037;3.0;13.58;22.76;27.99
ADB000038;1.0;13.17;21.94;26.99
ADB000039;1.0;43.55;73.16;89.99
ADB000040;1.0;114.33;191.05;234.99
ADB000041;3.0;27.69;46.33;56.99
ADB000042;2.0;8.12;16.25;19.99
ALD000017;0.0;129.0;230.0;282.9
ALD000018;0.0;726.0;1680.0;2066.4
ALD000019;12.0;4.4;21.13;25.99
ALD000020;0.0;1008.0;1920.0;2361.6
ALD000023;0.0;0.01;0.02;0.02
ALD000024;0.0;0.01;0.02;0.02
ARO000001;0.0;9.48;17.88;21.99
ARO000005;0.0;5.12;7.31;8.99
ARO000006;0.0;5.12;7.31;8.99
ARO000007;0.0;5.12;7.31;8.99
ARO000008;0.0;5.68;8.12;9.99
ARO000009;0.0;5.68;8.12;9.99
ARO000010;0.0;5.68;8.12;9.99
ARO000011;8.0;17.55;32.51;39.99
ARO000012;30.0;17.55;32.51;39.99
ARO000013;15.0;17.55;32.51;39.99
ARO000015;0.0;21.05;35.76;43.99
ARO000016;0.0;21.05;35.76;43.99
ARO000017;0.0;18.49;35.76;43.99
ARO000018;21.0;12.19;20.32;24.99
ARO000019;24.0;12.19;20.32;24.99
ARO000020;5.0;11.21;20.32;24.99
ARO000021;0.0;10.73;20.32;24.99
ARO000022;40.0;2.92;5.68;6.99
ARO000023;13.0;2.92;5.68;6.99
ARO000024;28.0;2.92;5.68;6.99
ARO000025;6.0;17.55;32.51;39.99
ARO000026;0.0;13.21;24.38;29.99
ARO000027;0.0;14.63;26.82;32.99
ARO000028;0.0;12.68;18.69;22.99
ARO000029;5.0;10.72;20.32;24.99
ARO000030;0.0;5.28;8.93;10.99
ARO000031;0.0;5.28;8.93;10.99
ARO000032;16.0;17.55;32.51;39.99
ARO000034;0.0;9.75;17.88;21.99
ARO000036;8.0;9.75;17.88;21.99
ARO000037;18.0;12.19;20.32;24.99
ARO000038;0.0;31.7;55.28;67.99
ARO000039;28.0;2.92;5.68;6.99
ARO000040;19.0;2.92;5.68;6.99
ARO000041;27.0;2.92;5.68;6.99
ARO000042;44.0;2.92;5.68;6.99
ARO000043;22.0;2.92;5.68;6.99
ARO000044;34.0;2.92;5.68;6.99
ARO000045;16.0;2.92;5.68;6.99
ARO000046;11.0;2.92;5.68;6.99
ARO000047;24.0;2.92;5.68;6.99
ARO000048;0.0;14.63;24.38;29.99
ARO000049;0.0;12.68;21.13;25.99
ARO000050;0.0;43.9;73.16;89.99
ARO000051;0.0;17.55;32.51;39.99
ARO000052;12.0;9.75;17.88;21.99
ARO000053;30.0;9.75;17.88;21.99
ARO000054;1.0;6.6;12.19;14.99
ARO000055;0.0;8.29;12.19;14.99
ARO000056;1.0;12.0;26.82;32.99
ARO000057;7.0;12.0;26.82;32.99
ARO000058;7.0;9.75;20.32;24.99
ARO000060;11.0;17.55;32.51;39.99
ARO000063;6.0;17.55;32.51;39.99
ARO000064;13.0;9.75;17.88;21.99
ARO000065;0.0;9.75;17.88;21.99
ARO000067;10.0;9.75;17.88;21.99
ARO000068;0.0;17.55;32.51;39.99
ARO000069;7.0;17.55;32.51;39.99
ARO000070;0.0;17.55;32.51;39.99
ARO000071;5.0;17.55;32.51;39.99
ARO000072;7.0;9.75;17.88;21.99
ARO000073;8.0;9.75;17.88;21.99
ARO000075;9.0;9.75;20.32;24.99
ARO000076;7.0;9.75;20.32;24.99
ARO000077;7.0;9.75;20.32;24.99
ARO000078;5.0;9.75;20.32;24.99
ARO000079;9.0;17.55;32.51;39.99
ARO000080;0.0;19.51;35.76;43.99
ARO000081;0.0;19.51;35.76;43.99
ARO000082;2.0;19.51;35.76;43.99
ARO000083;0.0;0.01;4.87;5.99
ARO000085;9.0;9.75;20.32;24.99
ARO000086;14.0;9.75;17.88;21.99
ARO000087;6.0;17.55;32.51;39.99
ARO000088;7.0;17.55;32.51;39.99
ARO000089;14.0;2.92;5.68;6.99
ARO000090;0.0;2.92;5.68;6.99
ARO000091;0.0;3.41;6.5;7.99
ARO000092;0.0;3.41;6.5;7.99
ARO000093;0.0;3.41;6.5;7.99
ARO000094;2.0;6.34;12.19;14.99
ARO000095;0.0;17.56;32.51;39.99
ARO000097;0.0;0.01;4.87;5.99
ARO000098;0.0;0.01;4.87;5.99
ARO000099;8.0;17.55;32.51;39.99
ARO000100;13.0;17.55;32.51;39.99
ARO000101;30.0;17.55;32.51;39.99
ARO000102;6.0;15.6;35.76;43.99
ARO000103;0.0;17.56;32.51;39.99
ARO000105;5.0;14.63;26.82;32.99
ARO000106;0.0;39.02;73.16;89.99
ARO000107;0.0;20.97;81.29;99.99
ARO000108;2.0;4.14;8.93;10.99
ARO000109;43.0;9.75;17.88;21.99
ARO000110;0.0;12.19;22.76;27.99
ARO000111;0.0;12.19;22.76;27.99
ARO000112;5.0;12.68;22.76;27.99
ARO000113;4.0;29.26;55.28;67.99
ARO000114;3.0;29.26;55.28;67.99
ARO000115;2.0;9.48;17.88;21.99
ARO000116;0.0;20.97;34.95;42.99
ARO000117;3.0;66.0;113.81;139.99
ARO000118;7.0;10.72;19.5;23.99
ARO000119;4.0;14.63;24.38;29.99
ARO000120;8.0;20.18;26.82;32.99
ARO000121;12.0;17.55;29.25;35.98
ARO000122;0.0;8.67;16.25;19.99
ATAS0001;0.0;27.0;48.77;59.99
ATAS0002;15.0;11.69;21.94;26.99
ATAS0003;4.0;137.46;239.83;294.99
ATAS0004;0.0;334.17;640.58;787.91
ATAS0005;6.0;30.01;50.4;61.99
ATAS0006;4.0;72.05;126.01;154.99
ATAS0008;0.0;12.6;24.38;29.99
ATAS0009;9.0;14.53;26.82;32.99
ATAS0011;3.0;78.8;145.52;178.99
ATAS0012;15.0;6.63;12.19;14.99
ATAS0017;8.0;3.0;5.68;6.99
ATAS0025;1.0;3.14;4.87;5.99
ATAS0030;2.0;98.75;179.55;220.85
ATAS0031;37.0;4.85;8.12;9.99
ATAS0032;9.0;9.22;16.25;19.99
ATAS0034;3.0;6.74;10.56;12.99
ATAS0036;7.0;21.0;34.95;42.99
ATAS0038;0.0;14.2;24.38;29.99
ATAS0039;16.0;15.5;30.89;37.99
ATAS0040;0.0;9.39;16.25;19.99
ATAS0042;0.0;5.5;10.56;12.99
ATAS0043;2.0;20.86;38.2;46.99
ATAS0044;30.0;4.33;8.12;9.99
ATAS0045;23.0;6.32;11.37;13.99
ATAS0046;18.0;6.8;14.63;17.99
ATAS0047;8.0;3.95;6.5;7.99
ATAS0048;19.0;3.52;6.5;7.99
ATAS0049;5.0;3.52;6.5;7.99
ATAS0050;18.0;4.33;8.12;9.99
ATAS0051;5.0;3.52;6.5;7.99
ATAS0052;5.0;3.94;8.12;9.99
ATAS0053;71.0;13.0;24.38;29.99
ATAS0055;10.0;3.52;6.5;7.99
ATAS0056;7.0;3.95;6.5;7.99
ATAS0057;0.0;3.95;6.5;7.99
ATAS0058;0.0;12.0;16.25;19.99
ATAS0060;5.0;6.73;18.69;22.99
ATAS0061;0.0;0.71;1.62;1.99
ATAS0062;6.0;12.35;22.76;27.99
ATAS0063;6.0;6.84;13.81;16.99
ATAS0064;6.0;3.95;6.5;7.99
ATAS0067;4.0;3.52;6.5;7.99
ATAS0068;8.0;3.95;6.5;7.99
ATAS0069;7.0;3.95;6.5;7.99
ATAS0071;8.0;4.24;6.5;7.99
ATAS0072;15.0;3.95;6.5;7.99
ATAS0073;0.0;3.52;6.5;7.99
ATAS0074;0.0;12.6;24.38;29.99
ATAS0075;0.0;13.1;24.38;29.99
ATAS0076;0.0;12.6;24.38;29.99
ATAS0077;0.0;13.1;24.38;29.99
ATAS0078;0.0;12.6;24.38;29.99
ATAS0079;0.0;13.1;24.38;29.99
ATAS0080;0.0;14.2;24.38;29.99
ATAS0081;29.0;14.1;24.38;29.99
ATAS0082;0.0;14.2;24.38;29.99
ATAS0083;14.0;8.5;15.44;18.99
ATAS0084;12.0;8.5;15.44;18.99
ATAS0087;0.0;8.2;15.44;18.99
ATAS0088;3.0;8.5;15.44;18.99
ATAS0089;29.0;3.0;5.68;6.99
ATAS0090;17.0;3.0;5.68;6.99
ATAS0091;10.0;3.0;5.68;6.99
ATAS0092;12.0;3.0;5.68;6.99
ATAS0093;0.0;3.0;5.68;6.99
ATAS0094;1.0;4.33;8.93;10.99
ATAS0095;26.0;4.33;8.12;9.99
ATAS0096;0.0;13.1;24.38;29.99
ATAS0097;1.0;13.1;24.38;29.99
ATAS0098;0.0;13.1;24.38;29.99
ATAS0101;8.0;8.5;15.44;18.99
ATAS0103;6.0;8.5;15.44;18.99
ATAS0104;5.0;8.5;15.44;18.99
ATAS0105;4.0;8.5;15.44;18.99
ATAS0107;19.0;7.41;15.44;18.99
ATAS0109;0.0;8.5;15.44;18.99
ATAS0110;2.0;8.5;15.44;18.99
ATAS0112;3.0;8.5;15.44;18.99
ATAS0113;3.0;8.5;15.44;18.99
ATAS0116;13.0;5.2;9.75;11.99
ATAS0117;10.0;5.2;8.12;9.99
ATAS0118;1.0;15.52;26.01;31.99
ATAS0119;5.0;3.0;5.68;6.99
ATAS0120;0.0;6.8;11.37;13.99
ATAS0123;37.0;8.41;14.63;17.99
ATAS0124;4.0;4.9;10.56;12.99
ATAS0126;33.0;13.1;24.38;29.99
ATAS0127;4.0;4.33;7.31;8.99
ATAS0129;3.0;66.62;130.07;159.99
ATAS0130;12.0;4.33;8.12;9.99
ATAS0132;0.0;17.56;29.26;35.99
ATAS0133;1.0;9.24;18.69;22.99
ATAS0134;1.0;3.0;5.68;6.99
ATAS0135;10.0;4.33;8.12;9.99
ATAS0136;0.0;8.5;15.44;18.99
ATAS0137;3.0;8.1;15.44;18.99
ATAS0138;0.0;8.5;15.44;18.99
ATAS0139;3.0;8.72;15.44;18.99
ATAS0140;0.0;27.58;43.08;52.99
ATAS0141;0.0;20.34;34.14;41.99
ATAS0142;13.0;6.6;16.25;19.99
ATAS0143;6.0;7.56;24.38;29.99
ATAS0145;4.0;8.2;15.44;18.99
ATAS0146;0.0;3.0;5.68;6.99
ATAS0147;0.0;16.5;32.51;39.99
ATAS0148;3.0;12.0;24.38;29.99
ATAS0149;21.0;15.75;28.45;34.99
ATAS0150;0.0;6.8;13.81;16.99
ATAS0151;0.0;7.42;13.81;16.99
ATAS0152;1.0;267.81;447.15;549.99
ATAS0153;9.0;12.21;21.94;26.99
ATAS0154;0.0;3.0;5.68;6.99
ATAS0155;0.0;7.32;13.0;15.99
ATAS0156;0.0;72.56;132.51;162.99
ATAS0157;13.0;4.73;10.56;12.99
ATAS0158;14.0;17.22;32.51;39.99
ATAS0159;4.0;115.74;209.75;257.99
ATAS0160;1.0;162.23;294.96;362.8
ATAS0161;16.0;8.24;13.0;15.99
ATAS0162;4.0;2.35;4.06;4.99
ATAS0163;12.0;14.89;24.38;29.99
ATAS0164;4.0;6.7;11.37;13.99
ATAS0165;1.0;8.84;13.81;16.99
ATAS0166;2.0;8.84;14.63;17.99
ATAS0167;0.0;5.99;9.75;11.99
ATAS0168;5.0;8.78;13.81;16.99
ATAS0169;2.0;11.32;18.69;22.99
ATAS0170;6.0;16.36;27.63;33.99
ATAS0171;0.0;10.75;17.88;21.99
ATAS0172;4.0;7.32;12.19;14.99
ATAS0173;2.0;21.58;35.76;43.99
ATAS0174;2.0;45.2;65.03;79.99
ATAS0175;1.0;10.97;18.69;22.99
ATAS0176;9.0;13.63;22.76;27.99
ATAS0177;7.0;18.05;30.07;36.99
ATAS0178;2.0;8.65;14.63;17.99
ATAS0179;7.0;9.16;15.44;18.99
ATAS0180;2.0;0.11;4.8;5.9
ATAS0181;5.0;7.07;11.37;13.99
ATAS0182;2.0;8.32;13.81;16.99
ATAS0183;6.0;10.41;17.88;21.99
ATAS0184;11.0;12.0;20.32;24.99
ATAS0185;7.0;12.28;22.76;27.99
ATAS0186;6.0;9.73;16.25;19.99
ATAS0187;13.0;13.26;24.38;29.99
ATAS0188;6.0;11.84;21.29;22.99
ATAS0189;6.0;6.43;10.56;12.99
ATAS0190;1.0;95.29;158.53;194.99
ATAS0191;1.0;107.88;195.11;239.99
ATAS0192;2.0;6.34;10.56;12.99
ATAS0193;16.0;47.25;85.91;105.67
ATAS0194;0.0;6.12;11.13;13.69
ATAS0195;4.0;3.44;6.5;7.99
ATAS0196;214.0;1.42;3.24;3.99
ATAS0197;0.0;3.0;5.68;6.99
ATAS0198;0.0;4.33;8.12;9.99
ATAS0199;6.0;9.95;17.88;21.99
ATAS0200;0.0;0.0;21.13;25.99
ATAS0201;10.0;3.0;5.68;6.99
ATAS0202;0.0;3.0;5.68;6.99
BAS000001;0.0;11.33;20.32;24.99
BAS000002;0.0;25.6;46.29;49.99
BAS000003;0.0;25.6;46.29;49.99
BAS000004;0.0;28.52;51.84;55.99
BAS000005;0.0;20.74;37.03;39.99
BAS000006;4.0;16.21;29.62;31.99
BAS000007;0.0;10.82;20.32;24.99
BAS000008;3.0;43.23;78.85;96.99
BAS000009;0.0;90.09;163.88;176.99
BAS000010;0.0;67.73;123.57;151.99
BOL000001;2.0;18.49;32.51;39.99
CAR000002;1.0;23.2;29.26;35.99
CAR000003;0.0;115.25;178.04;218.99
CAR000004;0.0;49.23;81.29;99.99
CAR000005;1.0;146.78;243.89;299.99
CAR000006;0.0;65.0;100.8;123.99
CAR000007;0.0;94.52;145.52;178.99
CAR000008;0.0;116.42;178.85;219.99
CAR000009;0.0;65.85;101.62;124.99
CAR000010;0.0;112.19;173.16;212.99
CAR000011;0.0;55.72;91.05;111.99
CAR000012;0.0;172.8;286.17;351.99
CAR000013;0.0;61.58;102.43;125.99
CAR000014;0.0;185.15;307.31;377.99
CAR000015;0.0;71.34;119.5;146.99
CAR000016;1.0;81.09;133.33;163.99
CAR000017;0.0;28.42;46.33;56.99
CAR000018;0.0;8.54;26.26;32.3
CAR000019;0.0;96.95;149.59;183.99
CAR000020;0.0;133.54;219.5;269.99
CAR000021;0.0;179.88;300.8;369.99
CAR000022;0.0;55.49;86.17;105.99
CAR000023;0.0;55.49;86.17;105.99
CAR000024;0.0;168.29;280.48;344.99
CAR000025;0.0;29.88;50.4;61.99
CAR000026;1.0;14.33;24.38;29.99
CAR000027;0.0;32.33;52.84;64.99
CAR000028;1.0;54.27;89.42;109.99
CAR000029;1.0;127.44;211.37;259.99
CAR000030;0.0;122.71;203.24;249.99
CAR000031;1.0;54.27;89.42;109.99
CAR000032;0.0;54.27;93.49;114.99
CART0003;4.0;159.35;265.85;326.99
CART0004;0.0;6.87;13.0;15.99
CART0005;0.0;0.98;2.44;3.0
CART0006;9.0;3.61;5.68;6.99
CART0010;1.0;65.12;117.88;144.99
CART0011;2.0;66.58;111.37;136.99
CART0012;0.0;54.6;99.99;122.99
CART0014;0.0;259.0;430.89;529.99
CART0015;10.0;14.6;26.82;32.99
CART0017;15.0;46.16;81.29;99.99
CART0018;3.0;191.79;345.52;424.99
CART0019;0.0;76.83;113.81;139.99
CART0020;0.0;7.9;12.19;14.99
CART0021;6.0;44.82;81.22;99.9
CART0022;1.0;19.4;32.51;39.99
CART0025;5.0;47.24;78.04;95.99
CART0027;9.0;38.47;64.22;78.99
CART0028;9.0;27.77;46.24;56.88
CART0031;2.0;26.07;52.84;64.99
CART0032;0.0;48.48;81.29;99.99
CART0033;0.0;27.89;47.15;57.99
CART0034;0.0;19.65;26.01;31.99
CART0036;420.0;1.25;2.43;2.99
CART0037;0.0;42.69;73.16;89.99
CART0038;0.0;26.16;43.89;53.99
CART0039;0.0;13.21;24.38;29.99
CART0040;0.0;1.3;17.07;20.99
CART0042;0.0;42.69;71.54;87.99
CART0043;0.0;9.15;14.63;17.99
CART0044;0.0;23.78;39.83;48.99
CART0045;5.0;38.47;64.22;78.99
CART0046;0.0;21.0;35.76;43.99
CART0047;5.0;24.75;40.64;49.99
CART0048;0.0;0.74;1.29;1.59
CART0049;0.0;15.85;28.45;34.99
CART0050;3.0;15.85;28.45;34.99
CART0051;0.0;55.5;97.55;119.99
CART0054;0.0;15.33;26.82;32.99
CART0056;0.0;31.18;56.9;69.99
CART0057;0.0;24.98;45.52;55.99
CART0059;0.0;44.82;73.16;89.99
CART0060;0.0;40.3;67.47;82.99
CART0064;0.0;515.61;937.47;1153.09
CART0065;1.0;15.33;97.55;119.99
CART0066;0.0;14.27;24.38;29.99
CART0067;1.0;26.16;40.64;49.99
CART0069;0.0;24.75;40.64;49.99
CART0070;0.0;37.0;67.47;82.99
CART0071;9.0;7.29;12.19;14.99
CART0072;6.0;6.83;14.05;17.28
CART0073;0.0;22.43;37.39;45.99
CART0074;2.0;26.52;44.71;54.99
CART0075;0.0;44.4;73.16;89.99
CART0076;1.0;56.85;94.3;115.99
CART0077;0.0;26.25;38.2;46.99
CART0079;0.0;27.89;48.77;59.99
CART0080;0.0;6.04;8.93;10.99
CART0081;0.0;22.5;32.51;39.99
CART0082;0.0;23.17;28.45;34.99
CART0084;0.0;24.1;31.7;38.99
CART0086;0.0;45.67;81.29;99.99
CART0088;0.0;11.59;21.13;25.99
CART0089;0.0;43.35;75.6;92.99
CART0090;0.0;32.26;59.34;72.99
CART0092;3.0;38.98;66.66;81.99
CART0093;0.0;16.12;30.89;37.99
CART0094;0.0;31.18;52.02;63.99
CART0095;0.0;164.88;276.65;340.28
CART0096;0.0;66.6;121.94;149.99
CART0097;0.0;60.7;105.68;129.99
CART0098;0.0;155.4;260.15;319.99
CART0100;0.0;68.16;123.93;152.43
CART0101;0.0;79.26;134.14;164.99
CART0102;0.0;68.22;117.88;144.99
CART0103;0.0;137.4;249.82;307.28
CART0104;7.0;22.71;38.2;46.99
CART0105;0.0;148.54;252.02;309.99
CART0106;2.0;4.2;8.12;9.99
CART0107;1.0;44.51;74.79;91.99
CART0108;0.0;66.5;105.68;129.99
CART0109;6.0;19.32;32.51;39.99
CART0110;0.0;16.38;28.45;34.99
CART0111;3.0;50.65;85.36;104.99
CART0112;4.0;71.71;130.07;159.99
CART0113;1.0;41.26;69.1;84.99
CART0114;3.0;31.98;53.65;65.99
CART0115;0.0;19.55;28.45;34.99
CART0116;0.0;14.05;20.32;24.99
CART0117;3.0;43.08;81.29;99.99
CART0118;4.0;52.24;89.42;109.99
CART0119;7.0;24.3;40.64;49.99
CART0120;2.0;149.11;268.28;329.99
CART0121;1.0;38.47;65.03;79.99
CART0122;0.0;52.9;81.29;99.99
CART0125;0.0;31.35;46.33;56.99
CART0126;0.0;21.65;31.7;38.99
CART0127;0.0;24.75;38.2;46.99
CART0128;0.0;23.78;39.83;48.99
CART0132;0.0;72.28;121.94;149.99
CART0133;3.0;30.73;52.84;64.99
CART0135;8.0;25.55;44.71;54.99
CART0136;0.0;72.85;121.94;149.99
CART0137;0.0;101.0;134.14;164.99
CART0138;0.0;91.62;152.84;187.99
CART0139;1.0;26.92;48.77;59.99
CART0140;3.0;85.93;146.33;179.99
CART0141;3.0;35.91;65.03;79.99
CART0142;2.0;25.55;46.33;56.99
CART0143;1.0;40.92;72.35;88.99
CART0144;1.0;88.78;117.88;144.99
CART0145;1.0;620.33;1121.94;1379.99
CART0146;2.0;28.57;52.02;63.99
CART0153;1.0;96.74;149.59;183.99
CART0162;3.0;1.15;2.43;2.99
CART0163;7.0;9.9;16.25;19.99
CART0168;2.0;24.0;43.08;52.99
CART0169;0.0;10.25;14.63;17.99
CART0170;0.0;18.29;24.38;29.99
CART0175;0.0;3.25;6.5;7.99
CART0176;2.0;6.04;11.37;13.99
CART0177;0.0;14.5;20.32;24.99
CART0184;0.0;29.02;47.96;58.99
CART0186;0.0;11.8;20.32;24.99
CART0190;0.0;30.25;43.08;52.99
CART0191;0.0;43.8;62.59;76.99
CART0193;0.0;25.5;32.51;39.99
CART0194;0.0;12.09;16.25;19.99
CART0197;1.0;128.0;162.59;199.99
CART0199;0.0;5.36;8.12;9.99
CART0202;2.0;16.45;30.07;36.99
CHE000001;0.0;3.87;6.5;7.99
CHE000002;3.0;50.0;110.56;135.99
CHE000003;3.0;89.0;183.73;225.99
CHE000007;0.0;92.0;162.59;199.99
CHE000008;0.0;268.0;433.33;532.99
CHE000010;48.0;8.7;22.76;27.99
CHE000011;5.0;62.0;138.2;169.99
CHE000012;1.0;30.0;56.9;69.99
CHE000013;2.0;35.01;195.11;239.99
CHE000014;0.0;136.0;272.35;334.99
CHE000017;8.0;94.66;170.72;209.99
CHE000022;2.0;35.0;65.03;79.99
CHE000023;0.0;35.0;65.03;79.99
CHE000025;0.0;15.0;186.98;229.99
CHE000029;4.0;31.3;60.97;74.99
CHE000030;3.0;27.32;51.21;62.99
CHE000031;3.0;22.76;43.08;52.99
CHE000032;0.0;19.86;30.89;37.99
CHE000033;7.0;2.8;8.93;10.99
CHE000034;6.0;30.73;72.35;88.99
CHE000035;2.0;79.62;175.6;215.99
CHE000036;5.0;45.47;81.29;99.99
CHE000037;0.0;34.48;58.53;71.99
CHE000038;1.0;166.0;291.05;357.99
CHE000040;1.0;189.5;317.07;389.99
CHE000042;8.0;7.5;29.26;35.99
CHE000043;0.0;11.2;28.45;34.99
CHE000044;0.0;210.0;386.15;474.96
CHE000046;14.0;25.0;73.16;89.99
CHE000047;0.0;21.34;37.39;45.99
CHE000049;2.0;3.25;6.5;7.99
CHE000050;0.0;24.38;43.08;52.99
CHE000051;4.0;25.7;57.72;70.99
CHE000052;0.0;25.37;46.13;56.74
CHE000053;0.0;67.64;97.55;119.99
CHE000054;0.0;63.37;115.44;141.99
CHE000055;16.0;5.0;97.55;119.99
CHE000056;0.0;37.94;69.1;84.99
CHE000058;0.0;10.63;19.5;23.99
CHE000059;5.0;22.71;40.64;49.99
CHE000060;0.0;73.39;164.22;201.99
CHE000063;35.0;37.8;76.36;93.92
CHE000064;0.0;80.08;145.6;179.09
CHE000065;2.0;198.92;368.38;453.11
CHE000066;6.0;36.78;66.87;82.25
