sku;stock;price_purchase_net;price_sale_net;price_sale_gross
1000015;1;99.35;218.69;268.99
ABE000001;0;;;
ABE000002;0;;;
ABE000004;0;;;
ABE000005;0;;;
ABE000006;0;;;
ABE000007;0;40.57;56.9;69.99
ABE000009;0;;;
ABE000010;0;;;
ABE000013;3;26.08;40.64;49.99
ABE000016;0;;;
ABE000019;0;;;
ABE000021;0;;;
ADB000001;2;24.46;48.77;59.99
ADB000002;0;18.29;30.89;37.99
ADB000003;0;33.53;56.9;69.99
ADB000004;0;33.53;56.09;68.99
ADB000005;2;4.69;9.75;11.99
ADB000006;11;5.94;12.19;14.99
ADB000007;8;8.12;16.25;19.99
ADB000008;1;1.95;3.65;4.49
ADB000009;1;61.62;101.62;124.99
ADB000010;1;15.25;25.2;30.99
ADB000011;1;13.82;24.38;29.99
ADB000012;1;28.96;48.77;59.99
ADB000013;0;17.98;30.07;36.99
ADB000014;0;28.8;47.96;58.99
ADB000015;3;22.65;38.2;46.99
ADB000016;1;29.91;50.4;61.99
ADB000017;1;47.74;79.67;97.99
ADB000018;1;43.56;73.16;89.99
ADB000019;1;29.82;48.77;59.99
ADB000020;1;29.54;48.77;59.99
ADB000021;1;29.82;48.77;59.99
ADB000022;1;24.92;40.64;49.99
ADB000023;1;5.31;8.93;10.99
ADB000024;4;5.41;8.93;10.99
ADB000025;4;17.09;28.45;34.99
ADB000026;2;17.87;30.07;36.99
ADB000027;1;16.56;27.63;33.99
ADB000028;1;9.66;16.25;19.99
ADB000029;0;14.67;24.38;29.99
ADB000030;1;17.87;30.07;36.99
ADB000031;0;14.93;24.38;29.99
ADB000032;3;9.66;16.25;19.99
ADB000033;0;11.87;20.32;24.99
ADB000034;1;17.09;28.45;34.99
ADB000035;2;9.66;16.25;19.99
ADB000036;1;26.32;43.89;53.99
ADB000037;3;13.58;22.76;27.99
ADB000038;1;13.17;21.94;26.99
ADB000039;1;43.55;73.16;89.99
ADB000040;1;114.33;191.05;234.99
ADB000041;3;27.69;46.33;56.99
ADB000042;2;8.12;16.25;19.99
ALD000001;0;;;
ALD000002;0;;;
ALD000003;0;;;
ALD000004;0;;;
ALD000005;0;;;
ALD000006;0;;;
ALD000007;0;;;
ALD000008;0;;;
ALD000009;0;;;
ALD000010;0;;;
ALD000011;0;;;
ALD000012;0;;;
ALD000013;0;;;
ALD000014;0;;;
ALD000016;0;;;
ALD000017;0;129;230;282.9
ALD000018;0;726;1680;2066.4
ALD000019;11;4.4;21.13;25.99
ALD000020;0;1008;1920;2361.6
ALD000021;0;;;
ALD000023;0;0.01;0.02;0.02
ALD000024;0;0.01;0.02;0.02
ARO000001;0;9.48;17.88;21.99
ARO000002;0;;;
ARO000003;0;;;
ARO000004;0;;;
ARO000005;0;5.12;7.31;8.99
ARO000006;0;5.12;7.31;8.99
ARO000007;0;5.12;7.31;8.99
ARO000008;0;5.68;8.12;9.99
ARO000009;0;5.68;8.12;9.99
ARO000010;0;5.68;8.12;9.99
ARO000011;5;17.55;32.51;39.99
ARO000012;20;17.55;32.51;39.99
ARO000013;15;17.55;32.51;39.99
ARO000014;0;;;
ARO000015;0;21.05;35.76;43.99
ARO000016;0;21.05;35.76;43.99
ARO000017;0;18.49;35.76;43.99
ARO000018;21;12.19;20.32;24.99
ARO000019;21;12.19;20.32;24.99
ARO000020;5;11.21;20.32;24.99
ARO000021;0;10.73;20.32;24.99
ARO000022;40;2.92;5.68;6.99
ARO000023;13;2.92;5.68;6.99
ARO000024;28;2.92;5.68;6.99
ARO000025;5;17.55;32.51;39.99
ARO000026;0;13.21;24.38;29.99
ARO000027;0;14.63;26.82;32.99
ARO000028;0;12.68;18.69;22.99
ARO000029;5;10.72;20.32;24.99
ARO000030;0;5.28;8.93;10.99
ARO000031;0;5.28;8.93;10.99
ARO000032;16;17.55;32.51;39.99
ARO000033;0;;;
ARO000034;0;9.75;17.88;21.99
ARO000035;0;;;
ARO000036;5;9.75;17.88;21.99
ARO000037;9;12.19;20.32;24.99
ARO000038;0;31.7;55.28;67.99
ARO000039;28;2.92;5.68;6.99
ARO000040;19;2.92;5.68;6.99
ARO000041;27;2.92;5.68;6.99
ARO000042;32;2.92;5.68;6.99
ARO000043;22;2.92;5.68;6.99
ARO000044;34;2.92;5.68;6.99
ARO000045;16;2.92;5.68;6.99
ARO000046;10;2.92;5.68;6.99
ARO000047;24;2.92;5.68;6.99
ARO000048;0;14.63;24.38;29.99
ARO000049;0;12.68;21.13;25.99
ARO000050;0;43.9;73.16;89.99
ARO000051;0;17.55;32.51;39.99
ARO000052;12;9.75;17.88;21.99
ARO000053;30;9.75;17.88;21.99
ARO000054;1;6.6;12.19;14.99
ARO000055;0;8.29;12.19;14.99
ARO000056;1;12;26.82;32.99
ARO000057;7;12;26.82;32.99
ARO000058;7;9.75;20.32;24.99
ARO000059;0;;;
ARO000060;10;17.55;32.51;39.99
ARO000061;0;;;
ARO000062;0;;;
ARO000063;5;17.55;32.51;39.99
ARO000064;13;9.75;17.88;21.99
ARO000065;0;9.75;17.88;21.99
ARO000066;0;;;
ARO000067;5;9.75;17.88;21.99
ARO000068;0;17.55;32.51;39.99
ARO000069;7;17.55;32.51;39.99
ARO000070;0;17.55;32.51;39.99
ARO000071;3;17.55;32.51;39.99
ARO000072;7;9.75;17.88;21.99
ARO000073;8;9.75;17.88;21.99
ARO000074;0;;;
ARO000075;9;9.75;20.32;24.99
ARO000076;6;9.75;20.32;24.99
ARO000077;6;9.75;20.32;24.99
ARO000078;4;9.75;20.32;24.99
ARO000079;4;17.55;32.51;39.99
ARO000080;0;19.51;35.76;43.99
ARO000081;0;19.51;35.76;43.99
ARO000082;2;19.51;35.76;43.99
ARO000083;0;0.01;4.87;5.99
ARO000084;0;;;
ARO000085;9;9.75;20.32;24.99
ARO000086;15;9.75;17.88;21.99
ARO000087;6;17.55;32.51;39.99
ARO000088;7;17.55;32.51;39.99
ARO000089;14;2.92;5.68;6.99
ARO000090;0;2.92;5.68;6.99
ARO000091;0;3.41;6.5;7.99
ARO000092;0;3.41;6.5;7.99
ARO000093;0;3.41;6.5;7.99
ARO000094;2;6.34;12.19;14.99
ARO000095;0;17.56;32.51;39.99
ARO000096;0;;;
ARO000097;0;0.01;4.87;5.99
ARO000098;0;0.01;4.87;5.99
ARO000099;7;17.55;32.51;39.99
ARO000100;13;17.55;32.51;39.99
ARO000101;28;17.55;32.51;39.99
ARO000102;6;15.6;35.76;43.99
ARO000103;0;17.56;32.51;39.99
ARO000104;0;;;
ARO000105;5;14.63;26.82;32.99
ARO000106;0;39.02;73.16;89.99
ARO000107;0;20.97;81.29;99.99
ARO000108;2;4.14;8.93;10.99
ARO000109;35;9.75;17.88;21.99
ARO000110;0;12.19;22.76;27.99
ARO000111;0;12.19;22.76;27.99
ARO000112;5;12.68;22.76;27.99
ARO000113;4;29.26;55.28;67.99
ARO000114;3;29.26;55.28;67.99
ARO000115;2;9.48;17.88;21.99
ARO000116;0;20.97;34.95;42.99
ARO000117;3;66;113.81;139.99
ARO000118;7;10.72;19.5;23.99
ARO000119;4;14.63;24.38;29.99
ARO000120;8;20.18;26.82;32.99
ARO000121;8;17.55;29.25;35.98
ARO000122;0;8.67;16.25;19.99
ATAS0001;0;27;48.77;59.99
ATAS0002;15;11.69;21.94;26.99
ATAS0003;3;137.46;239.83;294.99
ATAS0004;0;334.17;640.58;787.91
ATAS0005;2;30.01;50.4;61.99
ATAS0006;4;72.05;126.01;154.99
ATAS0008;0;12.6;24.38;29.99
ATAS0009;9;14.53;26.82;32.99
ATAS0011;0;78.8;145.52;178.99
ATAS0012;12;6.63;12.19;14.99
ATAS0017;8;3;5.68;6.99
ATAS0022;0;;;
ATAS0025;1;3.14;4.87;5.99
ATAS0028;0;;;
ATAS0029;0;;;
ATAS0030;2;98.75;179.55;220.85
ATAS0031;37;4.85;8.12;9.99
ATAS0032;8;9.22;16.25;19.99
ATAS0033;0;;;
ATAS0034;3;6.74;10.56;12.99
ATAS0035;0;;;
ATAS0036;7;21;34.95;42.99
ATAS0037;0;;;
ATAS0038;0;14.2;24.38;29.99
ATAS0039;16;15.5;30.89;37.99
ATAS0040;0;9.39;16.25;19.99
ATAS0041;0;;;
ATAS0042;0;5.5;10.56;12.99
ATAS0043;3;20.86;38.2;46.99
ATAS0044;30;4.33;8.12;9.99
ATAS0045;23;6.32;11.37;13.99
ATAS0046;18;6.8;14.63;17.99
ATAS0047;8;3.95;6.5;7.99
ATAS0048;19;3.52;6.5;7.99
ATAS0049;5;3.52;6.5;7.99
ATAS0050;17;4.33;8.12;9.99
ATAS0051;5;3.52;6.5;7.99
ATAS0052;5;3.94;8.12;9.99
ATAS0053;195;13;24.38;29.99
ATAS0055;9;3.52;6.5;7.99
ATAS0056;5;3.95;6.5;7.99
ATAS0057;0;3.95;6.5;7.99
ATAS0058;0;12;16.25;19.99
ATAS0059;0;;;
ATAS0060;5;6.73;18.69;22.99
ATAS0061;0;0.71;1.62;1.99
ATAS0062;6;12.35;22.76;27.99
ATAS0063;6;6.84;13.81;16.99
ATAS0064;4;3.95;6.5;7.99
ATAS0067;2;3.52;6.5;7.99
ATAS0068;7;3.95;6.5;7.99
ATAS0069;7;3.95;6.5;7.99
ATAS0070;0;;;
ATAS0071;7;4.24;6.5;7.99
ATAS0072;14;3.95;6.5;7.99
ATAS0073;0;3.52;6.5;7.99
ATAS0074;0;12.6;24.38;29.99
ATAS0075;0;13.1;24.38;29.99
ATAS0076;0;12.6;24.38;29.99
ATAS0077;0;13.1;24.38;29.99
ATAS0078;0;12.6;24.38;29.99
ATAS0079;0;13.1;24.38;29.99
ATAS0080;0;14.2;24.38;29.99
ATAS0081;29;14.1;24.38;29.99
ATAS0082;0;14.2;24.38;29.99
ATAS0083;14;8.5;15.44;18.99
ATAS0084;12;8.5;15.44;18.99
ATAS0085;0;;;
ATAS0086;0;;;
ATAS0087;0;8.2;15.44;18.99
ATAS0088;3;8.5;15.44;18.99
ATAS0089;26;3;5.68;6.99
ATAS0090;17;3;5.68;6.99
ATAS0091;10;3;5.68;6.99
ATAS0092;12;3;5.68;6.99
ATAS0093;0;3;5.68;6.99
ATAS0094;1;4.33;8.93;10.99
ATAS0095;25;4.33;8.12;9.99
ATAS0096;0;13.1;24.38;29.99
ATAS0097;1;13.1;24.38;29.99
ATAS0098;0;13.1;24.38;29.99
ATAS0099;0;;;
ATAS0100;0;;;
ATAS0101;8;8.5;15.44;18.99
ATAS0102;0;;;
ATAS0103;6;8.5;15.44;18.99
ATAS0104;5;8.5;15.44;18.99
ATAS0105;3;8.5;15.44;18.99
ATAS0106;0;;;
ATAS0107;19;7.41;15.44;18.99
ATAS0108;0;;;
ATAS0109;0;8.5;15.44;18.99
ATAS0110;2;8.5;15.44;18.99
ATAS0111;0;;;
ATAS0112;2;8.5;15.44;18.99
ATAS0113;3;8.5;15.44;18.99
ATAS0114;0;;;
ATAS0115;0;;;
ATAS0116;3;5.2;9.75;11.99
ATAS0117;10;5.2;8.12;9.99
ATAS0118;1;15.52;26.01;31.99
ATAS0119;5;3;5.68;6.99
ATAS0120;0;6.8;11.37;13.99
ATAS0122;0;;;
ATAS0123;37;8.41;14.63;17.99
ATAS0124;4;4.9;10.56;12.99
ATAS0125;0;;;
ATAS0126;29;13.1;24.38;29.99
ATAS0127;4;4.33;7.31;8.99
ATAS0129;3;66.62;130.07;159.99
ATAS0130;12;4.33;8.12;9.99
ATAS0132;0;17.56;29.26;35.99
ATAS0133;1;9.24;18.69;22.99
ATAS0134;1;3;5.68;6.99
ATAS0135;10;4.33;8.12;9.99
ATAS0136;0;8.5;15.44;18.99
ATAS0137;3;8.1;15.44;18.99
ATAS0138;0;8.5;15.44;18.99
ATAS0139;3;8.72;15.44;18.99
ATAS0140;0;27.58;43.08;52.99
ATAS0141;0;20.34;34.14;41.99
ATAS0142;13;6.6;16.25;19.99
ATAS0143;6;7.56;24.38;29.99
ATAS0144;0;12.46;22.76;27.99
ATAS0145;4;8.2;15.44;18.99
ATAS0146;0;3;5.68;6.99
ATAS0147;0;16.5;32.51;39.99
ATAS0148;3;12;24.38;29.99
ATAS0149;21;15.75;28.45;34.99
ATAS0150;0;6.8;13.81;16.99
ATAS0151;0;7.42;13.81;16.99
ATAS0152;1;267.81;447.15;549.99
ATAS0153;5;12.21;21.94;26.99
ATAS0154;0;3;5.68;6.99
